,ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,height,width,length
9543,5-12,58.37000000000001,1.0,294.0,4.0,10,60186.0,Average,Mining Heavy Driller,5.0,City,4.0,NO,2,3,9
9544,5-12,45.487,14.0,294.0,4.2,9,60138.0,Average,High-speed Chase,4.2,City,4.1,NO,4,10,12
9545,5-12,45.487,2.0,347.0,4.5,8,60165.0,Very Easy,4 x 4 Response Unit,5.0,City,5.0,NO,4,2,4
9546,5-12,45.487,8.0,257.0,4.2,7,60108.0,Average,Fire Response Unit,3.9,City,3.8,NO,3,3,12
9547,6-12,45.487,5.0,378.0,4.8,10,60159.0,Easy,Jungle Halftrack Mission,4.8,City,4.6,NO,3,2,5
9548,5-12,45.37000000000001,16.82623813551358,297.0,4.337640663742107,9,60172.0,0.16760459995106436,Dirt Road Pursuit,0.13212625397602154,City,0.14639915178207324,NO,3,3,5
9549,5-12,38.987,7.0,344.0,5.0,11,60182.0,Easy,Pickup & Caravan,5.0,City,5.0,NO,2,2,5
9550,5-12,38.987,7.0,310.0,4.4,9,60183.0,Easy,Heavy Cargo Transport,4.7,City,4.7,NO,3,2,5
9551,5-12,29.887,11.0,214.0,4.5,6,60107.0,Easy,Fire Ladder Truck,4.5,City,4.1,NO,3,1,7
9552,5-12,29.887,8.0,144.0,4.4,9,60137.0,Easy,Tow Truck Trouble,4.3,City,4.0,NO,2,1,4
9553,4-7,29.887,16.82623813551358,115.0,4.337640663742107,8,10751.0,0.16760459995106436,Mountain Police Chase,0.13212625397602154,Juniors,0.14639915178207324,NO,3,3,4
9554,5-12,29.887,3.0,141.0,4.3,11,60164.0,Easy,Sea Rescue Plane,4.3,City,4.7,NO,3,9,8
9555,6-12,29.887,5.0,201.0,4.3,9,60158.0,Average,Jungle Cargo Helicopter,4.4,City,3.8,NO,3,7,9
9556,5-12,28.587000000000003,47.0,8.0,4.2,10,7895.0,Very Easy,Switching Tracks,4.1,City,3.6,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9557,6-12,25.987,4.0,192.0,5.0,10,60180.0,Average,Monster Truck,5.0,City,5.0,NO,4,3,5
9558,5-12,25.987,35.0,249.0,4.6,5,60150.0,Easy,Pizza Van,4.9,City,4.8,NO,3,1,5
9559,5-12,25.987,89.0,24.0,2.9,6,7499.0,Easy,Flexible and Straight Tracks,2.5,City,2.2,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
9560,5-12,25.987,7.0,174.0,4.3,10,60181.0,Easy,Forest Tractor,4.4,City,4.2,NO,3,3,7
9561,5-12,25.987,6.0,190.0,4.2,7,60179.0,Easy,Ambulance Helicopter,3.8,City,4.7,NO,3,3,11
9562,5-12,25.87,12.0,239.0,4.7,6,60148.0,Easy,ATV Race Team,4.8,City,4.6,NO,2,2,5
9563,5-12,22.087,1.0,127.0,5.0,9,60185.0,Easy,Mining Power Splitter,5.0,City,5.0,NO,4,2,4
9564,5-12,22.087,1.0,126.0,5.0,9,60176.0,Easy,Wild River Escape,5.0,City,4.0,NO,1,2,5
9565,5-12,12.987000000000002,12.0,88.0,4.5,9,60157.0,Easy,Jungle Starter Set,4.9,City,4.6,NO,1,1,3
9566,5-12,12.987000000000002,4.0,76.0,4.8,9,60163.0,Very Easy,Coast Guard Starter Set,5.0,City,4.5,NO,2,1,3
9567,5-12,12.987000000000002,85.0,2.0,4.1,6,7280.0,Very Easy,Straight & Crossroad Plates,3.5,City,2.3,NO,0.1578174700269146,0.1864448250550526,0.1846505179022918
